,F1,F2,F3,F4
I am nervous when partners get too close to me.,0.7958841342440429,-0.12234576578646628,0.10856728459837388,0.060154354129073107
I am very comfortable being close to romantic partners.,0.14999714326681665,0.5222230146525957,0.062144884457864154,0.263103581236875
I do not often worry about being abandoned.,-0.03689143483403984,0.17966713256267297,-0.15090043743750572,0.5511502407910873
I don't feel comfortable opening up to romantic partners.,0.40003957487820674,-0.025308206742300676,0.44233860212736137,-0.19159885995105766
I feel comfortable depending on romantic partners.,0.10836195846731954,0.5030312692629223,0.16944725662185658,0.4767122275607076
I feel comfortable sharing my private thoughts and feelings with my partner,0.09189212976401788,0.7374369252738673,-0.25279004491810164,-0.2059070810783918
I find it difficult to allow myself to depend on romantic partners.,0.6228452771756422,0.16091600869807837,0.04716875948834328,0.049794506327498864
I find it easy to depend on romantic partners.,0.0267302077632116,0.10687695980506157,0.05050062872836556,0.40254097957685797
I find it relatively easy to get close to my partner.,-0.0943867757187513,0.7245620420574953,0.047843071482825246,0.04526797149548952
I find that my partner(s) don't want to get as close as I would like.,0.5893447520076771,0.01517410801431068,0.10669720860259323,-0.24666050807878773
I get uncomfortable when a romantic partner wants to be very close.,0.28798967824524313,0.07870493356879017,0.5842761954978319,0.1458312075132739
I often wish that my partner's feelings for me were as strong as my feelings for him or her.,0.6557200621922429,0.2996983042214814,0.20624080979927353,-0.10715989597239517
I often worry that my partner doesn't really love me.,0.376352424891387,0.26002696720138346,0.3403131705453037,-0.1287893951900438
I often worry that my partner will not want to stay with me.,0.7129502571785313,-0.054745108696631184,0.13726324305955911,0.08192774638419902
I prefer not to be too close to romantic partners.,-0.00890115894390323,0.1381114533956324,0.567050969445349,-0.07551351228670847
I prefer not to show a partner how I feel deep down.,0.16617714732600386,0.2683774742319232,0.4658215286059846,-0.3461931852954335
I rarely worry about my partner leaving me.,0.035380949474731124,-0.012473418262183242,0.047776874652345924,0.7830283239479446
I talk things over with my partner.,0.2273567607903983,0.4199263112351083,-0.5615570774629434,-0.1518655033839015
I tell my partner just about everything.,0.17563442865742124,-0.0406797530767143,-0.026997636553099193,0.6860521763983464
I usually discuss my problems and concerns with my partner.,-0.054803989183047144,0.4329391264675298,-0.5172074735112566,0.11218059431804041
I worry a lot about my relationships.,0.69252769341302,-0.005326922772579213,-0.2121672619149225,-0.09018170658276606
I worry that I won't measure up to other people.,0.14022951083867463,0.6553430243409815,-0.016693542404188782,-0.09123709246841857
I worry that romantic partners won’t care about me as much as I care about them.,0.8237130442943742,-0.05985777478701194,-0.20146697826373758,0.18197189111034273
I'm afraid that I will lose my partner's love.,0.5348120771707228,0.3600329069820261,0.10627990422342193,-0.20990347412593302
"I'm afraid that once a romantic partner gets to know me, he or she won't like who I really am.",0.4660128591082349,0.25744624057285664,0.24516506442801156,0.10192573992194097
It helps to turn to my romantic partner in times of need.,-0.1235713417479032,0.18814221610932677,-0.475456795418944,-0.11016337104663526
It makes me mad that I don't get the affection and support I need from my partner.,0.6932760438064838,0.09098696912452002,0.0731310827533536,-0.02920797245678615
It's easy for me to be affectionate with my partner.,-0.3385935324612944,0.668656262970773,0.04561192181001188,0.290074433554818
It's not difficult for me to get close to my partner.,0.23797530097903916,0.31743744633139787,-0.32136830298439273,0.3245884319633909
My desire to be very close sometimes scares people away.,0.7811249250481324,-0.12952878761476855,-0.34804252864239804,-0.03769351361402923
My partner only seems to notice me when I’m angry.,0.4878373249552328,0.05744526197128861,0.17789754414671116,-0.09737315187442737
My partner really understands me and my needs,0.1519983863059035,0.5470777321110122,0.1452663017494778,0.19636340173538316
My romantic partner makes me doubt myself.,0.6140486308126641,-0.02856244027026079,0.29175052285532155,0.1561360958846908
Sometimes romantic partners change their feelings about me for no apparent reason.,0.5809754085420995,0.05949990618770457,-0.038711797737082936,0.14419832943925745
"When I show my feelings for romantic partners, I'm afraid they will not feel the same about me.",0.6535775909630566,0.06864529033938377,-0.20874523534682263,0.11708813901933288
"When my partner is out of sight, I worry that he or she might become interested in someone else.",0.8087667438444142,0.024091409902862158,0.2124789612369268,-0.010046095207272416
