,F1
All groups should be given an equal chance in life.,0.8528359284503495
Group equality should be our ideal.,0.27061510912267234
If certain groups stayed in their place‚ we would have fewer problems.,-0.6939976390836643
In getting what you want‚ it is sometimes necessary to use force against other groups.,-0.7301139582145593
Increased social equality.,0.6805378393253103
Inferior groups should stay in their place.,-0.5403806351511448
It would be good if groups could be equal.,0.46779051533983596
It’s OK if some groups have more of a chance in life than others.,-0.5760611933397906
It’s probably a good thing that certain groups are at the top and other groups are at the bottom.,-0.3112291815215649
No one group should dominate in society,0.637306963461908
Some groups of people are simply inferior to other groups.,-0.572752487086491
Sometimes other groups must be kept in their place.,-0.5540453871647464
To get ahead in life‚ it is sometimes necessary to step on other groups.,-0.7781003855586177
We should do what we can to equalize conditions for different groups.,0.4447088191709236
We should strive to make incomes as equal as possible.,0.10658515548399307
We would have fewer problems if we treated people more equally.,0.5795087742934822
