,F1,F2,F3
Achieving my goals is one of the greatest joys in life,0.26121617928676,0.6995114101833044,-0.16936453272980798
All people are fundamentally equal,-0.11351913955734906,-0.00880541668551179,0.2457899393237557
Caring for others is one of the most important things in life,0.1173977607888239,0.2350678404708091,0.6265346210453082
Doing things as they have always been done is more important than changing things ,0.5507892421538232,-0.4289383916660751,0.12184677736937877
Getting what I want in life is among my most important values,0.6128900482224858,0.4074582222202723,0.01334682565963364
Helping others is the most important thing,0.08501007454698076,-0.034847502607658946,0.7948850263412697
I aspire to power,0.8741484556989912,-0.07369137969574616,-0.0913093147655463
I believe in fight for equality,-0.12582019864469104,0.29443280083175133,0.5547156954528835
I crave a predictable life,0.6533819987745417,0.15683605148738144,0.22314590172976123
I crave novelty,0.1384497225482698,0.6216122063747549,-0.020209096418783365
I enjoy being in charge of a situation,0.5943959912602662,0.34968226511621386,0.04386242163992625
I hold to my core values no matter what,-0.1945861294446819,0.7836657116351496,0.12579172029270616
I like routine and dislike the unexpected,0.603168611826846,-0.1660483496915482,0.5413316823873785
I like to feel a rush,0.5466431567208596,0.4149686263565477,-0.1789098719195694
I like to stick up for the ‘underdog’,-0.15699549171605434,0.8261953837313721,0.23541038544723664
I like to tell others what to do,0.7261424480059498,-0.21122335297267608,-0.37280368517917417
I love to try new and exciting things,0.08829880770508876,0.6604610235168986,0.06113560600429144
I seek out pleasure in life,0.4971880139294353,0.5223654179782676,-0.014541466006689676
I think it is important to follow the rules,-0.35955721057071804,-0.14798470627824373,0.5233074910470313
I usually do what others tell me,-0.2513037680384399,-0.24592377310943514,0.3655517408252386
I value my creativity and individuality,0.16439591642178086,0.5919829332377928,-0.1898271276718037
"If it feels good, do it",0.7230394912329173,0.0018774058589296218,0.0022810643339606558
It helps me to know what to expect,-0.07154840646754299,0.4404894619055685,0.48176243695203713
It is important for me to feel authentic to who I really am,0.20913324582549717,0.49209001490536464,-0.16705133137930744
It is important to be successful,0.39390944883685497,0.22328616966331183,0.14252147067970428
It makes sense to seek out pleasure and avoid pain,0.2260859012385938,0.6125728266521728,-0.09884779098045798
Rituals are important to me,0.7986212286740249,0.050799371644835584,0.22784331837004235
The highest goal is in serving humanity,0.004056936956065973,-0.04881859166582742,0.7891173727003753
Things go more smoothly when people follow established rules,-0.048957766096163556,0.25840446162056,0.4555314570039364
Tradition is my foundation,0.7487342678328536,0.1332350682769391,-0.13403613694613983
