,F1,F2
Whether or not someone suffered emotionally,0.056558271940441315,0.8174968833486477
Whether or not some people were treated differently than others,-0.006004089369715974,0.10115441580483235
Whether or not someone’s action showed love for his or her country,0.7896684895690278,-0.15250937821143418
Whether or not someone showed a lack of respect for authority,0.8909639756884831,-0.005564194431553035
Whether or not someone violated standards of purity and decency,0.5643416602701095,-0.26526409944261137
Whether or not someone was good at math,0.19091896806109518,-0.3059085366170156
Whether or not someone cared for someone weak or vulnerable,-0.12642118714817704,0.6335460795935335
Whether or not someone acted unfairly,-0.08665490148032583,0.6596408041963931
Whether or not someone did something to betray his or her group,0.39778456819921587,-0.07215057580171494
Whether or not someone conformed to the traditions of society,0.8851974605660898,0.2434481753343078
Whether or not someone did something disgusting,0.6643198116458444,-0.24506838197132882
Whether or not someone was cruel,0.06355847764837275,0.6051593749631665
Whether or not someone was denied his or her rights,0.05756602417491722,0.684062606600197
Whether or not someone showed a lack of loyalty,0.4085237637426693,-0.0014382206815289496
Whether or not an action caused chaos or disorder,0.2353300681800182,0.24309111364492628
Whether or not someone acted in a way that God would approve of,0.37275635866155044,-0.5313196610069849
