,F1,F2
Whether or not someone suffered emotionally,-0.036719797681975454,0.48537457632663955
Whether or not some people were treated differently than others,0.0016362391288288112,0.4638408588920015
Whether or not someone’s action showed love for his or her country,0.4941071596430862,-0.06099188509032139
Whether or not someone showed a lack of respect for authority,0.6211780708591268,0.05667009836864516
Whether or not someone violated standards of purity and decency,0.8554703272756502,0.07919069422043473
Whether or not someone was good at math,0.5263729067436358,-0.19211538090883779
Whether or not someone cared for someone weak or vulnerable,-0.3206941284052052,0.1516115814946125
Whether or not someone acted unfairly,-0.034876256687229844,0.7877792698135128
Whether or not someone did something to betray his or her group,0.22866018796956736,0.18574651193138753
Whether or not someone conformed to the traditions of society,0.5422933245653773,0.17437360990639442
Whether or not someone did something disgusting,0.3231574062837182,-0.00439184966687885
Whether or not someone was cruel,-0.24610694481798776,0.41148387435278294
Whether or not someone was denied his or her rights,0.13125463414445565,0.7807297085390751
Whether or not someone showed a lack of loyalty,0.27170264136464156,0.3784352718596418
Whether or not an action caused chaos or disorder,0.12247122662450723,0.14655735786630505
Whether or not someone acted in a way that God would approve of,0.4895653689647407,-0.3887235996261767
