,F1,F2
Whether or not someone suffered emotionally,0.2567891622488025,0.5676869588052472
Whether or not some people were treated differently than others,0.11842410074846053,0.6092215572805784
Whether or not someone’s action showed love for his or her country,0.561142430312674,-0.15584642423233067
Whether or not someone showed a lack of respect for authority,0.7629338329186468,0.09289864921312997
Whether or not someone violated standards of purity and decency,0.4893507759408954,0.018470338356813675
Whether or not someone was good at math,0.546847177692549,-0.4592059486611554
Whether or not someone cared for someone weak or vulnerable,0.22168579846903022,0.490089380585586
Whether or not someone acted unfairly,-0.14512516675509407,0.7449525052427799
Whether or not someone did something to betray his or her group,0.6418510360413462,0.0338096068345198
Whether or not someone conformed to the traditions of society,0.89023984663838,-0.06839405399816036
Whether or not someone did something disgusting,0.6234856938910147,0.21617553646302107
Whether or not someone was cruel,-0.16667147415952804,0.7741809803519832
Whether or not someone was denied his or her rights,0.2174587204115811,0.625058040134311
Whether or not someone showed a lack of loyalty,0.6907205580668332,0.08562072928624621
Whether or not an action caused chaos or disorder,0.3255604515063443,0.13692840714082447
Whether or not someone acted in a way that God would approve of,0.5485996177073416,-0.3187692281761568
